search_parameter,base,code,status,type_,xpath,xpath_transformed,target,expression
family,Patient|Practitioner,family,draft,string,f:Patient/f:name/f:family | f:Practitioner/f:name/f:family,Patient.name.family | Practitioner.name.family,None,Patient.name.family | Practitioner.name.family
gender,Patient|Person|Practitioner|RelatedPerson,gender,draft,token,f:Patient/f:gender | f:Person/f:gender | f:Practitioner/f:gender | f:RelatedPerson/f:gender,Patient.gender | Person.gender | Practitioner.gender | RelatedPerson.gender,None,Patient.gender | Person.gender | Practitioner.gender | RelatedPerson.gender
general-practitioner,Patient,general-practitioner,draft,reference,f:Patient/f:generalPractitioner,Patient.generalPractitioner,Practitioner|Organization|PractitionerRole,Patient.generalPractitioner
given,Patient|Practitioner,given,draft,string,f:Patient/f:name/f:given | f:Practitioner/f:name/f:given,Patient.name.given | Practitioner.name.given,None,Patient.name.given | Practitioner.name.given
identifier,Patient,identifier,draft,token,f:Patient/f:identifier,Patient.identifier,None,Patient.identifier
language,Patient,language,draft,token,f:Patient/f:communication/f:language,Patient.communication.language,None,Patient.communication.language
link,Patient,link,draft,reference,f:Patient/f:link/f:other,Patient.link.other,Patient|RelatedPerson,Patient.link.other
name,Patient,name,draft,string,f:Patient/f:name,Patient.name,None,Patient.name
organization,Patient,organization,draft,reference,f:Patient/f:managingOrganization,Patient.managingOrganization,Organization,Patient.managingOrganization
phone,Patient|Person|Practitioner|PractitionerRole|RelatedPerson,phone,draft,token,f:Patient/f:telecom[system/@value='phone'] | f:Person/f:telecom[system/@value='phone'] | f:Practitioner/f:telecom[system/@value='phone'] | f:PractitionerRole/f:telecom[system/@value='phone'] | f:RelatedPerson/f:telecom[system/@value='phone'],Patient.telecom[system/@value='phone'] | Person.telecom[system/@value='phone'] | Practitioner.telecom[system/@value='phone'] | PractitionerRole.telecom[system/@value='phone'] | RelatedPerson.telecom[system/@value='phone'],None,Patient.telecom.where(system='phone') | Person.telecom.where(system='phone') | Practitioner.telecom.where(system='phone') | PractitionerRole.telecom.where(system='phone') | RelatedPerson.telecom.where(system='phone')
phonetic,Patient|Person|Practitioner|RelatedPerson,phonetic,draft,string,f:Patient/f:name | f:Person/f:name | f:Practitioner/f:name | f:RelatedPerson/f:name,Patient.name | Person.name | Practitioner.name | RelatedPerson.name,None,Patient.name | Person.name | Practitioner.name | RelatedPerson.name
telecom,Patient|Person|Practitioner|PractitionerRole|RelatedPerson,telecom,draft,token,f:Patient/f:telecom | f:Person/f:telecom | f:Practitioner/f:telecom | f:PractitionerRole/f:telecom | f:RelatedPerson/f:telecom,Patient.telecom | Person.telecom | Practitioner.telecom | PractitionerRole.telecom | RelatedPerson.telecom,None,Patient.telecom | Person.telecom | Practitioner.telecom | PractitionerRole.telecom | RelatedPerson.telecom
created,PaymentNotice,created,draft,date,f:PaymentNotice/f:created,PaymentNotice.created,None,PaymentNotice.created
identifier,PaymentNotice,identifier,draft,token,f:PaymentNotice/f:identifier,PaymentNotice.identifier,None,PaymentNotice.identifier
payment-status,PaymentNotice,payment-status,draft,token,f:PaymentNotice/f:paymentStatus,PaymentNotice.paymentStatus,None,PaymentNotice.paymentStatus
provider,PaymentNotice,provider,draft,reference,f:PaymentNotice/f:provider,PaymentNotice.provider,Practitioner|Organization|PractitionerRole,PaymentNotice.provider
request,PaymentNotice,request,draft,reference,f:PaymentNotice/f:request,PaymentNotice.request,Account|ActivityDefinition|AdverseEvent|AllergyIntolerance|Appointment|AppointmentResponse|AuditEvent|Basic|Binary|BiologicallyDerivedProduct|BodyStructure|Bundle|CapabilityStatement|CarePlan|CareTeam|CatalogEntry|ChargeItem|ChargeItemDefinition|Claim|ClaimResponse|ClinicalImpression|CodeSystem|Communication|CommunicationRequest|CompartmentDefinition|Composition|ConceptMap|Condition|Consent|Contract|Coverage|CoverageEligibilityRequest|CoverageEligibilityResponse|DetectedIssue|Device|DeviceDefinition|DeviceMetric|DeviceRequest|DeviceUseStatement|DiagnosticReport|DocumentManifest|DocumentReference|EffectEvidenceSynthesis|Encounter|Endpoint|EnrollmentRequest|EnrollmentResponse|EpisodeOfCare|EventDefinition|Evidence|EvidenceVariable|ExampleScenario|ExplanationOfBenefit|FamilyMemberHistory|Flag|Goal|GraphDefinition|Group|GuidanceResponse|HealthcareService|ImagingStudy|Immunization|ImmunizationEvaluation|ImmunizationRecommendation|ImplementationGuide|InsurancePlan|Invoice|Library|Linkage|List|Location|Measure|MeasureReport|Media|Medication|MedicationAdministration|MedicationDispense|MedicationKnowledge|MedicationRequest|MedicationStatement|MedicinalProduct|MedicinalProductAuthorization|MedicinalProductContraindication|MedicinalProductIndication|MedicinalProductIngredient|MedicinalProductInteraction|MedicinalProductManufactured|MedicinalProductPackaged|MedicinalProductPharmaceutical|MedicinalProductUndesirableEffect|MessageDefinition|MessageHeader|MolecularSequence|NamingSystem|NutritionOrder|Observation|ObservationDefinition|OperationDefinition|OperationOutcome|Organization|OrganizationAffiliation|Patient|PaymentNotice|PaymentReconciliation|Person|PlanDefinition|Practitioner|PractitionerRole|Procedure|Provenance|Questionnaire|QuestionnaireResponse|RelatedPerson|RequestGroup|ResearchDefinition|ResearchElementDefinition|ResearchStudy|ResearchSubject|RiskAssessment|RiskEvidenceSynthesis|Schedule|SearchParameter|ServiceRequest|Slot|Specimen|SpecimenDefinition|StructureDefinition|StructureMap|Subscription|Substance|SubstanceNucleicAcid|SubstancePolymer|SubstanceProtein|SubstanceReferenceInformation|SubstanceSourceMaterial|SubstanceSpecification|SupplyDelivery|SupplyRequest|Task|TerminologyCapabilities|TestReport|TestScript|ValueSet|VerificationResult|VisionPrescription,PaymentNotice.request
response,PaymentNotice,response,draft,reference,f:PaymentNotice/f:response,PaymentNotice.response,Account|ActivityDefinition|AdverseEvent|AllergyIntolerance|Appointment|AppointmentResponse|AuditEvent|Basic|Binary|BiologicallyDerivedProduct|BodyStructure|Bundle|CapabilityStatement|CarePlan|CareTeam|CatalogEntry|ChargeItem|ChargeItemDefinition|Claim|ClaimResponse|ClinicalImpression|CodeSystem|Communication|CommunicationRequest|CompartmentDefinition|Composition|ConceptMap|Condition|Consent|Contract|Coverage|CoverageEligibilityRequest|CoverageEligibilityResponse|DetectedIssue|Device|DeviceDefinition|DeviceMetric|DeviceRequest|DeviceUseStatement|DiagnosticReport|DocumentManifest|DocumentReference|EffectEvidenceSynthesis|Encounter|Endpoint|EnrollmentRequest|EnrollmentResponse|EpisodeOfCare|EventDefinition|Evidence|EvidenceVariable|ExampleScenario|ExplanationOfBenefit|FamilyMemberHistory|Flag|Goal|GraphDefinition|Group|GuidanceResponse|HealthcareService|ImagingStudy|Immunization|ImmunizationEvaluation|ImmunizationRecommendation|ImplementationGuide|InsurancePlan|Invoice|Library|Linkage|List|Location|Measure|MeasureReport|Media|Medication|MedicationAdministration|MedicationDispense|MedicationKnowledge|MedicationRequest|MedicationStatement|MedicinalProduct|MedicinalProductAuthorization|MedicinalProductContraindication|MedicinalProductIndication|MedicinalProductIngredient|MedicinalProductInteraction|MedicinalProductManufactured|MedicinalProductPackaged|MedicinalProductPharmaceutical|MedicinalProductUndesirableEffect|MessageDefinition|MessageHeader|MolecularSequence|NamingSystem|NutritionOrder|Observation|ObservationDefinition|OperationDefinition|OperationOutcome|Organization|OrganizationAffiliation|Patient|PaymentNotice|PaymentReconciliation|Person|PlanDefinition|Practitioner|PractitionerRole|Procedure|Provenance|Questionnaire|QuestionnaireResponse|RelatedPerson|RequestGroup|ResearchDefinition|ResearchElementDefinition|ResearchStudy|ResearchSubject|RiskAssessment|RiskEvidenceSynthesis|Schedule|SearchParameter|ServiceRequest|Slot|Specimen|SpecimenDefinition|StructureDefinition|StructureMap|Subscription|Substance|SubstanceNucleicAcid|SubstancePolymer|SubstanceProtein|SubstanceReferenceInformation|SubstanceSourceMaterial|SubstanceSpecification|SupplyDelivery|SupplyRequest|Task|TerminologyCapabilities|TestReport|TestScript|ValueSet|VerificationResult|VisionPrescription,PaymentNotice.response
status,PaymentNotice,status,draft,token,f:PaymentNotice/f:status,PaymentNotice.status,None,PaymentNotice.status
created,PaymentReconciliation,created,draft,date,f:PaymentReconciliation/f:created,PaymentReconciliation.created,None,PaymentReconciliation.created
disposition,PaymentReconciliation,disposition,draft,string,f:PaymentReconciliation/f:disposition,PaymentReconciliation.disposition,None,PaymentReconciliation.disposition
identifier,PaymentReconciliation,identifier,draft,token,f:PaymentReconciliation/f:identifier,PaymentReconciliation.identifier,None,PaymentReconciliation.identifier
outcome,PaymentReconciliation,outcome,draft,token,f:PaymentReconciliation/f:outcome,PaymentReconciliation.outcome,None,PaymentReconciliation.outcome
payment-issuer,PaymentReconciliation,payment-issuer,draft,reference,f:PaymentReconciliation/f:paymentIssuer,PaymentReconciliation.paymentIssuer,Organization,PaymentReconciliation.paymentIssuer
request,PaymentReconciliation,request,draft,reference,f:PaymentReconciliation/f:request,PaymentReconciliation.request,Task,PaymentReconciliation.request
requestor,PaymentReconciliation,requestor,draft,reference,f:PaymentReconciliation/f:requestor,PaymentReconciliation.requestor,Practitioner|Organization|PractitionerRole,PaymentReconciliation.requestor
status,PaymentReconciliation,status,draft,token,f:PaymentReconciliation/f:status,PaymentReconciliation.status,None,PaymentReconciliation.status
identifier,Person,identifier,draft,token,f:Person/f:identifier,Person.identifier,None,Person.identifier
link,Person,link,draft,reference,f:Person/f:link/f:target,Person.link.target,Practitioner|Patient|Person|RelatedPerson,Person.link.target
name,Person,name,draft,string,f:Person/f:name,Person.name,None,Person.name
organization,Person,organization,draft,reference,f:Person/f:managingOrganization,Person.managingOrganization,Organization,Person.managingOrganization
patient,Person,patient,draft,reference,f:Person/f:link/f:target,Person.link.target,Patient,Person.link.target.where(resolve() is Patient)
practitioner,Person,practitioner,draft,reference,f:Person/f:link/f:target,Person.link.target,Practitioner,Person.link.target.where(resolve() is Practitioner)
relatedperson,Person,relatedperson,draft,reference,f:Person/f:link/f:target,Person.link.target,RelatedPerson,Person.link.target.where(resolve() is RelatedPerson)
composed-of,PlanDefinition,composed-of,draft,reference,f:PlanDefinition/f:relatedArtifact[f:type/@value='composed-of']/f:resource,PlanDefinition.relatedArtifact[type/@value='composed-of'].resource,Account|ActivityDefinition|AdverseEvent|AllergyIntolerance|Appointment|AppointmentResponse|AuditEvent|Basic|Binary|BiologicallyDerivedProduct|BodyStructure|Bundle|CapabilityStatement|CarePlan|CareTeam|CatalogEntry|ChargeItem|ChargeItemDefinition|Claim|ClaimResponse|ClinicalImpression|CodeSystem|Communication|CommunicationRequest|CompartmentDefinition|Composition|ConceptMap|Condition|Consent|Contract|Coverage|CoverageEligibilityRequest|CoverageEligibilityResponse|DetectedIssue|Device|DeviceDefinition|DeviceMetric|DeviceRequest|DeviceUseStatement|DiagnosticReport|DocumentManifest|DocumentReference|EffectEvidenceSynthesis|Encounter|Endpoint|EnrollmentRequest|EnrollmentResponse|EpisodeOfCare|EventDefinition|Evidence|EvidenceVariable|ExampleScenario|ExplanationOfBenefit|FamilyMemberHistory|Flag|Goal|GraphDefinition|Group|GuidanceResponse|HealthcareService|ImagingStudy|Immunization|ImmunizationEvaluation|ImmunizationRecommendation|ImplementationGuide|InsurancePlan|Invoice|Library|Linkage|List|Location|Measure|MeasureReport|Media|Medication|MedicationAdministration|MedicationDispense|MedicationKnowledge|MedicationRequest|MedicationStatement|MedicinalProduct|MedicinalProductAuthorization|MedicinalProductContraindication|MedicinalProductIndication|MedicinalProductIngredient|MedicinalProductInteraction|MedicinalProductManufactured|MedicinalProductPackaged|MedicinalProductPharmaceutical|MedicinalProductUndesirableEffect|MessageDefinition|MessageHeader|MolecularSequence|NamingSystem|NutritionOrder|Observation|ObservationDefinition|OperationDefinition|OperationOutcome|Organization|OrganizationAffiliation|Patient|PaymentNotice|PaymentReconciliation|Person|PlanDefinition|Practitioner|PractitionerRole|Procedure|Provenance|Questionnaire|QuestionnaireResponse|RelatedPerson|RequestGroup|ResearchDefinition|ResearchElementDefinition|ResearchStudy|ResearchSubject|RiskAssessment|RiskEvidenceSynthesis|Schedule|SearchParameter|ServiceRequest|Slot|Specimen|SpecimenDefinition|StructureDefinition|StructureMap|Subscription|Substance|SubstanceNucleicAcid|SubstancePolymer|SubstanceProtein|SubstanceReferenceInformation|SubstanceSourceMaterial|SubstanceSpecification|SupplyDelivery|SupplyRequest|Task|TerminologyCapabilities|TestReport|TestScript|ValueSet|VerificationResult|VisionPrescription,PlanDefinition.relatedArtifact.where(type='composed-of').resource
context,PlanDefinition,context,draft,token,f:PlanDefinition/f:useContext/f:valueCodeableConcept,PlanDefinition.useContext.valueCodeableConcept,None,(PlanDefinition.useContext.value as CodeableConcept)
context-quantity,PlanDefinition,context-quantity,draft,quantity,f:PlanDefinition/f:useContext/f:valueQuantity | f:PlanDefinition/f:useContext/f:valueRange,PlanDefinition.useContext.valueQuantity | PlanDefinition.useContext.valueRange,None,(PlanDefinition.useContext.value as Quantity) | (PlanDefinition.useContext.value as Range)
context-type,PlanDefinition,context-type,draft,token,f:PlanDefinition/f:useContext/f:code,PlanDefinition.useContext.code,None,PlanDefinition.useContext.code
date,PlanDefinition,date,draft,date,f:PlanDefinition/f:date,PlanDefinition.date,None,PlanDefinition.date
definition,PlanDefinition,definition,draft,reference,f:PlanDefinition/f:action/f:definitionCanonical | f:PlanDefinition/f:action/f:definitionUri,PlanDefinition.action.definitionCanonical | PlanDefinition.action.definitionUri,Questionnaire|PlanDefinition|ActivityDefinition,PlanDefinition.action.definition
depends-on,PlanDefinition,depends-on,draft,reference,f:PlanDefinition/f:relatedArtifact[f:type/@value='depends-on']/f:resource | f:PlanDefinition/f:library,PlanDefinition.relatedArtifact[type/@value='depends-on'].resource | PlanDefinition.library,Library|Account|ActivityDefinition|AdverseEvent|AllergyIntolerance|Appointment|AppointmentResponse|AuditEvent|Basic|Binary|BiologicallyDerivedProduct|BodyStructure|Bundle|CapabilityStatement|CarePlan|CareTeam|CatalogEntry|ChargeItem|ChargeItemDefinition|Claim|ClaimResponse|ClinicalImpression|CodeSystem|Communication|CommunicationRequest|CompartmentDefinition|Composition|ConceptMap|Condition|Consent|Contract|Coverage|CoverageEligibilityRequest|CoverageEligibilityResponse|DetectedIssue|Device|DeviceDefinition|DeviceMetric|DeviceRequest|DeviceUseStatement|DiagnosticReport|DocumentManifest|DocumentReference|EffectEvidenceSynthesis|Encounter|Endpoint|EnrollmentRequest|EnrollmentResponse|EpisodeOfCare|EventDefinition|Evidence|EvidenceVariable|ExampleScenario|ExplanationOfBenefit|FamilyMemberHistory|Flag|Goal|GraphDefinition|Group|GuidanceResponse|HealthcareService|ImagingStudy|Immunization|ImmunizationEvaluation|ImmunizationRecommendation|ImplementationGuide|InsurancePlan|Invoice|Linkage|List|Location|Measure|MeasureReport|Media|Medication|MedicationAdministration|MedicationDispense|MedicationKnowledge|MedicationRequest|MedicationStatement|MedicinalProduct|MedicinalProductAuthorization|MedicinalProductContraindication|MedicinalProductIndication|MedicinalProductIngredient|MedicinalProductInteraction|MedicinalProductManufactured|MedicinalProductPackaged|MedicinalProductPharmaceutical|MedicinalProductUndesirableEffect|MessageDefinition|MessageHeader|MolecularSequence|NamingSystem|NutritionOrder|Observation|ObservationDefinition|OperationDefinition|OperationOutcome|Organization|OrganizationAffiliation|Patient|PaymentNotice|PaymentReconciliation|Person|PlanDefinition|Practitioner|PractitionerRole|Procedure|Provenance|Questionnaire|QuestionnaireResponse|RelatedPerson|RequestGroup|ResearchDefinition|ResearchElementDefinition|ResearchStudy|ResearchSubject|RiskAssessment|RiskEvidenceSynthesis|Schedule|SearchParameter|ServiceRequest|Slot|Specimen|SpecimenDefinition|StructureDefinition|StructureMap|Subscription|Substance|SubstanceNucleicAcid|SubstancePolymer|SubstanceProtein|SubstanceReferenceInformation|SubstanceSourceMaterial|SubstanceSpecification|SupplyDelivery|SupplyRequest|Task|TerminologyCapabilities|TestReport|TestScript|ValueSet|VerificationResult|VisionPrescription,PlanDefinition.relatedArtifact.where(type='depends-on').resource | PlanDefinition.library
derived-from,PlanDefinition,derived-from,draft,reference,f:PlanDefinition/f:relatedArtifact[f:type/@value='derived-from']/f:resource,PlanDefinition.relatedArtifact[type/@value='derived-from'].resource,Account|ActivityDefinition|AdverseEvent|AllergyIntolerance|Appointment|AppointmentResponse|AuditEvent|Basic|Binary|BiologicallyDerivedProduct|BodyStructure|Bundle|CapabilityStatement|CarePlan|CareTeam|CatalogEntry|ChargeItem|ChargeItemDefinition|Claim|ClaimResponse|ClinicalImpression|CodeSystem|Communication|CommunicationRequest|CompartmentDefinition|Composition|ConceptMap|Condition|Consent|Contract|Coverage|CoverageEligibilityRequest|CoverageEligibilityResponse|DetectedIssue|Device|DeviceDefinition|DeviceMetric|DeviceRequest|DeviceUseStatement|DiagnosticReport|DocumentManifest|DocumentReference|EffectEvidenceSynthesis|Encounter|Endpoint|EnrollmentRequest|EnrollmentResponse|EpisodeOfCare|EventDefinition|Evidence|EvidenceVariable|ExampleScenario|ExplanationOfBenefit|FamilyMemberHistory|Flag|Goal|GraphDefinition|Group|GuidanceResponse|HealthcareService|ImagingStudy|Immunization|ImmunizationEvaluation|ImmunizationRecommendation|ImplementationGuide|InsurancePlan|Invoice|Library|Linkage|List|Location|Measure|MeasureReport|Media|Medication|MedicationAdministration|MedicationDispense|MedicationKnowledge|MedicationRequest|MedicationStatement|MedicinalProduct|MedicinalProductAuthorization|MedicinalProductContraindication|MedicinalProductIndication|MedicinalProductIngredient|MedicinalProductInteraction|MedicinalProductManufactured|MedicinalProductPackaged|MedicinalProductPharmaceutical|MedicinalProductUndesirableEffect|MessageDefinition|MessageHeader|MolecularSequence|NamingSystem|NutritionOrder|Observation|ObservationDefinition|OperationDefinition|OperationOutcome|Organization|OrganizationAffiliation|Patient|PaymentNotice|PaymentReconciliation|Person|PlanDefinition|Practitioner|PractitionerRole|Procedure|Provenance|Questionnaire|QuestionnaireResponse|RelatedPerson|RequestGroup|ResearchDefinition|ResearchElementDefinition|ResearchStudy|ResearchSubject|RiskAssessment|RiskEvidenceSynthesis|Schedule|SearchParameter|ServiceRequest|Slot|Specimen|SpecimenDefinition|StructureDefinition|StructureMap|Subscription|Substance|SubstanceNucleicAcid|SubstancePolymer|SubstanceProtein|SubstanceReferenceInformation|SubstanceSourceMaterial|SubstanceSpecification|SupplyDelivery|SupplyRequest|Task|TerminologyCapabilities|TestReport|TestScript|ValueSet|VerificationResult|VisionPrescription,PlanDefinition.relatedArtifact.where(type='derived-from').resource
description,PlanDefinition,description,draft,string,f:PlanDefinition/f:description,PlanDefinition.description,None,PlanDefinition.description
effective,PlanDefinition,effective,draft,date,f:PlanDefinition/f:effectivePeriod,PlanDefinition.effectivePeriod,None,PlanDefinition.effectivePeriod
identifier,PlanDefinition,identifier,draft,token,f:PlanDefinition/f:identifier,PlanDefinition.identifier,None,PlanDefinition.identifier
jurisdiction,PlanDefinition,jurisdiction,draft,token,f:PlanDefinition/f:jurisdiction,PlanDefinition.jurisdiction,None,PlanDefinition.jurisdiction
name,PlanDefinition,name,draft,string,f:PlanDefinition/f:name,PlanDefinition.name,None,PlanDefinition.name
predecessor,PlanDefinition,predecessor,draft,reference,f:PlanDefinition/f:relatedArtifact[f:type/@value='predecessor']/f:resource,PlanDefinition.relatedArtifact[type/@value='predecessor'].resource,Account|ActivityDefinition|AdverseEvent|AllergyIntolerance|Appointment|AppointmentResponse|AuditEvent|Basic|Binary|BiologicallyDerivedProduct|BodyStructure|Bundle|CapabilityStatement|CarePlan|CareTeam|CatalogEntry|ChargeItem|ChargeItemDefinition|Claim|ClaimResponse|ClinicalImpression|CodeSystem|Communication|CommunicationRequest|CompartmentDefinition|Composition|ConceptMap|Condition|Consent|Contract|Coverage|CoverageEligibilityRequest|CoverageEligibilityResponse|DetectedIssue|Device|DeviceDefinition|DeviceMetric|DeviceRequest|DeviceUseStatement|DiagnosticReport|DocumentManifest|DocumentReference|EffectEvidenceSynthesis|Encounter|Endpoint|EnrollmentRequest|EnrollmentResponse|EpisodeOfCare|EventDefinition|Evidence|EvidenceVariable|ExampleScenario|ExplanationOfBenefit|FamilyMemberHistory|Flag|Goal|GraphDefinition|Group|GuidanceResponse|HealthcareService|ImagingStudy|Immunization|ImmunizationEvaluation|ImmunizationRecommendation|ImplementationGuide|InsurancePlan|Invoice|Library|Linkage|List|Location|Measure|MeasureReport|Media|Medication|MedicationAdministration|MedicationDispense|MedicationKnowledge|MedicationRequest|MedicationStatement|MedicinalProduct|MedicinalProductAuthorization|MedicinalProductContraindication|MedicinalProductIndication|MedicinalProductIngredient|MedicinalProductInteraction|MedicinalProductManufactured|MedicinalProductPackaged|MedicinalProductPharmaceutical|MedicinalProductUndesirableEffect|MessageDefinition|MessageHeader|MolecularSequence|NamingSystem|NutritionOrder|Observation|ObservationDefinition|OperationDefinition|OperationOutcome|Organization|OrganizationAffiliation|Patient|PaymentNotice|PaymentReconciliation|Person|PlanDefinition|Practitioner|PractitionerRole|Procedure|Provenance|Questionnaire|QuestionnaireResponse|RelatedPerson|RequestGroup|ResearchDefinition|ResearchElementDefinition|ResearchStudy|ResearchSubject|RiskAssessment|RiskEvidenceSynthesis|Schedule|SearchParameter|ServiceRequest|Slot|Specimen|SpecimenDefinition|StructureDefinition|StructureMap|Subscription|Substance|SubstanceNucleicAcid|SubstancePolymer|SubstanceProtein|SubstanceReferenceInformation|SubstanceSourceMaterial|SubstanceSpecification|SupplyDelivery|SupplyRequest|Task|TerminologyCapabilities|TestReport|TestScript|ValueSet|VerificationResult|VisionPrescription,PlanDefinition.relatedArtifact.where(type='predecessor').resource
publisher,PlanDefinition,publisher,draft,string,f:PlanDefinition/f:publisher,PlanDefinition.publisher,None,PlanDefinition.publisher
status,PlanDefinition,status,draft,token,f:PlanDefinition/f:status,PlanDefinition.status,None,PlanDefinition.status
successor,PlanDefinition,successor,draft,reference,f:PlanDefinition/f:relatedArtifact[f:type/@value='successor']/f:resource,PlanDefinition.relatedArtifact[type/@value='successor'].resource,Account|ActivityDefinition|AdverseEvent|AllergyIntolerance|Appointment|AppointmentResponse|AuditEvent|Basic|Binary|BiologicallyDerivedProduct|BodyStructure|Bundle|CapabilityStatement|CarePlan|CareTeam|CatalogEntry|ChargeItem|ChargeItemDefinition|Claim|ClaimResponse|ClinicalImpression|CodeSystem|Communication|CommunicationRequest|CompartmentDefinition|Composition|ConceptMap|Condition|Consent|Contract|Coverage|CoverageEligibilityRequest|CoverageEligibilityResponse|DetectedIssue|Device|DeviceDefinition|DeviceMetric|DeviceRequest|DeviceUseStatement|DiagnosticReport|DocumentManifest|DocumentReference|EffectEvidenceSynthesis|Encounter|Endpoint|EnrollmentRequest|EnrollmentResponse|EpisodeOfCare|EventDefinition|Evidence|EvidenceVariable|ExampleScenario|ExplanationOfBenefit|FamilyMemberHistory|Flag|Goal|GraphDefinition|Group|GuidanceResponse|HealthcareService|ImagingStudy|Immunization|ImmunizationEvaluation|ImmunizationRecommendation|ImplementationGuide|InsurancePlan|Invoice|Library|Linkage|List|Location|Measure|MeasureReport|Media|Medication|MedicationAdministration|MedicationDispense|MedicationKnowledge|MedicationRequest|MedicationStatement|MedicinalProduct|MedicinalProductAuthorization|MedicinalProductContraindication|MedicinalProductIndication|MedicinalProductIngredient|MedicinalProductInteraction|MedicinalProductManufactured|MedicinalProductPackaged|MedicinalProductPharmaceutical|MedicinalProductUndesirableEffect|MessageDefinition|MessageHeader|MolecularSequence|NamingSystem|NutritionOrder|Observation|ObservationDefinition|OperationDefinition|OperationOutcome|Organization|OrganizationAffiliation|Patient|PaymentNotice|PaymentReconciliation|Person|PlanDefinition|Practitioner|PractitionerRole|Procedure|Provenance|Questionnaire|QuestionnaireResponse|RelatedPerson|RequestGroup|ResearchDefinition|ResearchElementDefinition|ResearchStudy|ResearchSubject|RiskAssessment|RiskEvidenceSynthesis|Schedule|SearchParameter|ServiceRequest|Slot|Specimen|SpecimenDefinition|StructureDefinition|StructureMap|Subscription|Substance|SubstanceNucleicAcid|SubstancePolymer|SubstanceProtein|SubstanceReferenceInformation|SubstanceSourceMaterial|SubstanceSpecification|SupplyDelivery|SupplyRequest|Task|TerminologyCapabilities|TestReport|TestScript|ValueSet|VerificationResult|VisionPrescription,PlanDefinition.relatedArtifact.where(type='successor').resource
title,PlanDefinition,title,draft,string,f:PlanDefinition/f:title,PlanDefinition.title,None,PlanDefinition.title
topic,PlanDefinition,topic,draft,token,f:PlanDefinition/f:topic,PlanDefinition.topic,None,PlanDefinition.topic
type,PlanDefinition,type,draft,token,f:PlanDefinition/f:type,PlanDefinition.type,None,PlanDefinition.type
url,PlanDefinition,url,draft,uri,f:PlanDefinition/f:url,PlanDefinition.url,None,PlanDefinition.url
version,PlanDefinition,version,draft,token,f:PlanDefinition/f:version,PlanDefinition.version,None,PlanDefinition.version
context-type-quantity,PlanDefinition,context-type-quantity,draft,composite,None,None,None,PlanDefinition.useContext
context-type-value,PlanDefinition,context-type-value,draft,composite,None,None,None,PlanDefinition.useContext
active,Practitioner,active,draft,token,f:Practitioner/f:active,Practitioner.active,None,Practitioner.active
communication,Practitioner,communication,draft,token,f:Practitioner/f:communication,Practitioner.communication,None,Practitioner.communication
identifier,Practitioner,identifier,draft,token,f:Practitioner/f:identifier,Practitioner.identifier,None,Practitioner.identifier
name,Practitioner,name,draft,string,f:Practitioner/f:name,Practitioner.name,None,Practitioner.name
active,PractitionerRole,active,draft,token,f:PractitionerRole/f:active,PractitionerRole.active,None,PractitionerRole.active
date,PractitionerRole,date,draft,date,f:PractitionerRole/f:period,PractitionerRole.period,None,PractitionerRole.period
endpoint,PractitionerRole,endpoint,draft,reference,f:PractitionerRole/f:endpoint,PractitionerRole.endpoint,Endpoint,PractitionerRole.endpoint
identifier,PractitionerRole,identifier,draft,token,f:PractitionerRole/f:identifier,PractitionerRole.identifier,None,PractitionerRole.identifier
location,PractitionerRole,location,draft,reference,f:PractitionerRole/f:location,PractitionerRole.location,Location,PractitionerRole.location
organization,PractitionerRole,organization,draft,reference,f:PractitionerRole/f:organization,PractitionerRole.organization,Organization,PractitionerRole.organization
practitioner,PractitionerRole,practitioner,draft,reference,f:PractitionerRole/f:practitioner,PractitionerRole.practitioner,Practitioner,PractitionerRole.practitioner
role,PractitionerRole,role,draft,token,f:PractitionerRole/f:code,PractitionerRole.code,None,PractitionerRole.code
service,PractitionerRole,service,draft,reference,f:PractitionerRole/f:healthcareService,PractitionerRole.healthcareService,HealthcareService,PractitionerRole.healthcareService
specialty,PractitionerRole,specialty,draft,token,f:PractitionerRole/f:specialty,PractitionerRole.specialty,None,PractitionerRole.specialty
based-on,Procedure,based-on,draft,reference,f:Procedure/f:basedOn,Procedure.basedOn,CarePlan|ServiceRequest,Procedure.basedOn
category,Procedure,category,draft,token,f:Procedure/f:category,Procedure.category,None,Procedure.category
instantiates-canonical,Procedure,instantiates-canonical,draft,reference,f:Procedure/f:instantiatesCanonical,Procedure.instantiatesCanonical,Questionnaire|Measure|PlanDefinition|OperationDefinition|ActivityDefinition,Procedure.instantiatesCanonical
instantiates-uri,Procedure,instantiates-uri,draft,uri,f:Procedure/f:instantiatesUri,Procedure.instantiatesUri,None,Procedure.instantiatesUri
location,Procedure,location,draft,reference,f:Procedure/f:location,Procedure.location,Location,Procedure.location
part-of,Procedure,part-of,draft,reference,f:Procedure/f:partOf,Procedure.partOf,Observation|Procedure|MedicationAdministration,Procedure.partOf
performer,Procedure,performer,draft,reference,f:Procedure/f:performer/f:actor,Procedure.performer.actor,Practitioner|Organization|Device|Patient|PractitionerRole|RelatedPerson,Procedure.performer.actor
reason-code,Procedure,reason-code,draft,token,f:Procedure/f:reasonCode,Procedure.reasonCode,None,Procedure.reasonCode
